,Income,enrolled_months,education_ordinary_domain,marital_status_ordinary_domain,age,Kidhome,Teenhome,children_number,Recency,MntWines,wines_perc,MntFruits,fruits_perc,MntMeatProducts,meat_perc,MntFishProducts,fish_perc,MntSweetProducts,sweet_perc,MntGoldProds,total_spent,NumDealsPurchases,NumWebPurchases,web_perc,NumCatalogPurchases,catalog_perc,NumStorePurchases,store_perc,total_purchases,spent_per_purchase,NumWebVisitsMonth,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,total_campaigns,Response
0,58138.0,89,2,3,63,0,0,0,58,635,41.53,88,5.76,546,35.71,172,11.25,88,5.76,88,1529,3,8,36.36,10,45.45,4,18.18,22,69.5,7,0,0,0,0,0,0,0,1
1,46344.0,71,2,3,66,1,1,2,38,11,52.38,1,4.76,6,28.57,2,9.52,1,4.76,6,21,2,1,25.0,1,25.0,2,50.0,4,5.25,5,0,0,0,0,0,0,0,0
2,71613.0,78,2,0,55,0,0,0,26,426,58.04,49,6.68,127,17.3,111,15.12,21,2.86,42,734,1,8,40.0,2,10.0,10,50.0,20,36.7,4,0,0,0,0,0,0,0,0
3,26646.0,72,2,0,36,1,0,1,26,11,22.92,4,8.33,20,41.67,10,20.83,3,6.25,5,48,2,2,33.33,0,0.0,4,66.67,6,8.0,6,0,0,0,0,0,0,0,0
4,58293.0,73,4,1,39,1,0,1,94,173,42.51,43,10.57,118,28.99,46,11.3,27,6.63,15,407,5,5,35.71,3,21.43,6,42.86,14,29.07,5,0,0,0,0,0,0,0,0
5,62513.0,77,3,0,53,0,1,1,16,520,74.07,42,5.98,98,13.96,0,0.0,42,5.98,14,702,2,6,30.0,4,20.0,10,50.0,20,35.1,6,0,0,0,0,0,0,0,0
6,55635.0,87,2,2,49,0,1,1,34,235,41.74,65,11.55,164,29.13,50,8.88,49,8.7,27,563,4,7,41.18,3,17.65,7,41.18,17,33.12,6,0,0,0,0,0,0,0,0
7,33454.0,81,4,1,35,1,0,1,32,76,52.05,10,6.85,56,38.36,3,2.05,1,0.68,23,146,2,4,50.0,0,0.0,4,50.0,8,18.25,8,0,0,0,0,0,0,0,0
8,30351.0,80,4,0,46,1,0,1,19,14,31.82,0,0.0,24,54.55,3,6.82,3,6.82,2,44,1,3,60.0,0,0.0,2,40.0,5,8.8,9,0,0,0,0,0,0,0,1
9,5648.0,71,4,0,70,1,1,2,68,28,77.78,0,0.0,6,16.67,1,2.78,1,2.78,13,36,1,1,100.0,0,0.0,0,0.0,1,36.0,20,0,0,0,1,0,0,1,0
10,7500.0,87,0,1,44,0,0,0,59,6,13.33,16,35.56,11,24.44,11,24.44,1,2.22,16,45,1,2,40.0,0,0.0,3,60.0,5,9.0,8,0,0,0,0,0,0,0,0
11,63033.0,75,2,2,61,0,0,0,82,194,18.1,61,5.69,480,44.78,225,20.99,112,10.45,30,1072,1,3,20.0,4,26.67,8,53.33,15,71.47,2,0,0,0,0,0,0,0,0
12,59354.0,75,3,2,68,1,1,2,53,233,78.72,2,0.68,53,17.91,3,1.01,5,1.69,14,296,3,6,50.0,1,8.33,5,41.67,12,24.67,6,0,0,0,0,0,0,0,0
13,17323.0,88,2,1,33,0,0,0,38,3,7.32,14,34.15,17,41.46,6,14.63,1,2.44,5,41,1,1,25.0,0,0.0,3,75.0,4,10.25,8,0,0,0,0,0,0,0,0
14,82800.0,87,4,3,74,0,0,0,23,1006,79.21,22,1.73,115,9.06,59,4.65,68,5.35,45,1270,1,7,28.0,6,24.0,12,48.0,25,50.8,3,0,1,0,0,0,1,2,1
15,41850.0,86,2,1,40,1,1,2,51,53,57.61,5,5.43,19,20.65,2,2.17,13,14.13,4,92,3,3,50.0,0,0.0,3,50.0,6,15.33,8,0,0,0,0,0,0,0,0
16,37760.0,90,2,0,74,0,0,0,20,84,29.07,5,1.73,38,13.15,150,51.9,12,4.15,28,289,2,4,36.36,1,9.09,6,54.55,11,26.27,7,0,0,0,0,0,0,0,0
17,76995.0,83,3,1,71,0,1,1,91,1012,63.01,80,4.98,498,31.01,0,0.0,16,1.0,176,1606,2,11,45.83,4,16.67,9,37.5,24,66.92,5,0,1,0,0,0,0,1,0
18,33812.0,87,1,3,35,1,0,1,86,4,4.26,17,18.09,19,20.21,30,31.91,24,25.53,39,94,2,2,33.33,1,16.67,3,50.0,6,15.67,6,0,0,0,0,0,0,0,0
