"","meanImp","medianImp","minImp","maxImp","normHits","decision","features"
"total_campaigns",23.5279784015832,23.5971805042349,22.3001146275407,24.7360516991982,1,"Confirmed","total_campaigns"
"Recency",21.9793540771699,21.9235847634004,20.4129658203297,24.1462369534408,1,"Confirmed","Recency"
"store_perc",15.5850966240283,15.6799519205613,13.9908552586437,16.9655740685399,1,"Confirmed","store_perc"
"AcceptedCmp3",15.1676073076712,15.0592698244351,14.3446311805776,16.6503462889666,1,"Confirmed","AcceptedCmp3"
"enrolled_months",14.7627719225362,14.7487985770368,12.6329500606081,16.3261059614107,1,"Confirmed","enrolled_months"
"total_spent",12.9654179226708,12.8921808983468,11.8396648913364,14.0813541635394,1,"Confirmed","total_spent"
"Income",12.8731252188834,12.9285330458069,11.2672533424978,13.8736770935935,1,"Confirmed","Income"
"MntMeatProducts",12.8668811469833,12.7779478910047,12.0685489235464,14.0674274391561,1,"Confirmed","MntMeatProducts"
"catalog_perc",12.8416338452025,13.0410867038769,10.2019494824435,14.0477929352025,1,"Confirmed","catalog_perc"
"MntWines",12.6487073864483,12.4759119817098,11.372550905213,14.0805353990499,1,"Confirmed","MntWines"
"AcceptedCmp5",12.3496245259361,12.3667809281896,11.6817566285864,13.3712947379922,1,"Confirmed","AcceptedCmp5"
"meat_perc",12.3181944483995,12.5233642776792,10.7137294618768,13.659142089987,1,"Confirmed","meat_perc"
"spent_per_purchase",12.2298203987572,12.3281708840229,10.5406382509468,13.7656215155352,1,"Confirmed","spent_per_purchase"
"AcceptedCmp1",11.9077257218223,11.9649451885722,10.7171918649846,12.7676087406213,1,"Confirmed","AcceptedCmp1"
"MntGoldProds",10.3682928361719,10.2928882710564,9.68437845855781,11.1023666781218,1,"Confirmed","MntGoldProds"
"NumWebVisitsMonth",10.2513280514306,10.3118344150626,8.77733378547328,11.3866741460258,1,"Confirmed","NumWebVisitsMonth"
"NumStorePurchases",9.04247868698813,9.06935860614847,7.30865934158633,10.3982991736447,1,"Confirmed","NumStorePurchases"
"NumCatalogPurchases",8.91424632806723,8.85809290966866,7.78610486992566,10.3613201532453,1,"Confirmed","NumCatalogPurchases"
"wines_perc",8.69746138490894,8.74637648464125,7.16518863845035,9.53206082179619,1,"Confirmed","wines_perc"
"AcceptedCmp2",8.40405924130907,8.54540690846611,7.08824647606533,9.34330380437239,1,"Confirmed","AcceptedCmp2"
"marital_status_ordinary_domain",7.75200366567627,7.96153479041691,6.05438343354646,9.45080000898072,1,"Confirmed","marital_status_ordinary_domain"
"MntSweetProducts",7.62117668833009,7.61970899346032,6.82909445053015,8.49224421565998,1,"Confirmed","MntSweetProducts"
"web_perc",7.50381102752811,7.43208657376991,6.33884184508668,8.98419928788995,1,"Confirmed","web_perc"
"MntFishProducts",7.35126395475153,7.21590052666052,6.10854787802012,8.55519632734967,1,"Confirmed","MntFishProducts"
"education_ordinary_domain",7.31524858607649,7.62965723880305,5.10379459625694,9.0479304903337,1,"Confirmed","education_ordinary_domain"
"total_purchases",6.88402898712362,6.97563486966681,5.50270303962481,8.22995625505307,1,"Confirmed","total_purchases"
"NumWebPurchases",6.71217572995918,6.64811748078335,5.62963159301055,7.96655612251229,1,"Confirmed","NumWebPurchases"
"MntFruits",6.50675220922521,6.36868237284706,5.19154974364818,7.55134647729854,1,"Confirmed","MntFruits"
"NumDealsPurchases",5.9149823411803,6.06450475160898,4.6011485870011,7.13610187844461,1,"Confirmed","NumDealsPurchases"
"fish_perc",5.8410546455946,6.01777918953855,4.53566205688004,7.03607868472203,1,"Confirmed","fish_perc"
"sweet_perc",5.47043733504962,5.75282422538505,4.07658965502309,6.86767704416145,1,"Confirmed","sweet_perc"
"AcceptedCmp4",5.19738206373698,5.16158082041776,3.95317633241591,6.00880622795082,1,"Confirmed","AcceptedCmp4"
"Teenhome",5.08833491801849,5.00233384933962,3.56401480490602,6.6738100141153,1,"Confirmed","Teenhome"
"fruits_perc",4.81292301870479,4.79498701595303,2.81698232283239,5.80947406189614,0.947368421052632,"Confirmed","fruits_perc"
"children_number",4.08804769703843,3.89977927574753,3.20828450957809,6.55398377730911,0.947368421052632,"Confirmed","children_number"
"age",3.80554055332242,4.01217551735042,2.25901316217981,5.18647361562943,0.842105263157895,"Tentative","age"
"Kidhome",3.04993481731808,3.02205656332184,1.39162308193814,4.31764280261965,0.684210526315789,"Tentative","Kidhome"
"Complain",-0.117997578744003,0.00152226627790941,-2.00542747618609,1.53977514366473,0,"Rejected","Complain"
